 # Cs4 Pb4 I12
 
        1920  atoms
           3  atom types
 
      0.00000000      29.27228250  xlo xhi
      0.00000000      43.24763504  ylo yhi
      0.00000000      72.85269668  zlo zhi
 
Masses
 
1	132.90545190	0.0	132.90545190	#	Cs
2	207.20000000	0.0	207.20000000	#	Pb
3	126.90447000	0.0	126.90447000	#	I
 
Atoms # atomic
 
67	2	0.0	15.85581969	1.74310674	1.10725171
68	2	0.0	18.29517656	9.06880202	17.10592246
69	3	0.0	18.29517656	9.04115597	9.11758784
70	3	0.0	15.85581969	1.77075279	9.09558633
71	3	0.0	18.29517656	3.63520159	18.20217341
72	3	0.0	15.85581969	7.17670717	0.01100076
73	3	0.0	15.85581969	5.71614804	11.13999692
74	3	0.0	18.29517656	5.09576072	7.07317725
75	3	0.0	15.85581969	0.31019366	16.17976434
76	3	0.0	18.29517656	10.50171510	2.03340983
77	3	0.0	15.85581969	8.61952396	5.25404542
78	3	0.0	18.29517656	2.19238480	12.95912875
79	3	0.0	15.85581969	3.21356958	3.85254167
80	3	0.0	18.29517656	7.59833918	14.36063250
81	1	0.0	23.17389031	6.28827101	3.13636323
82	1	0.0	20.73453344	4.52363775	15.07681094
83	1	0.0	23.17389031	0.88231663	5.97022385
84	1	0.0	20.73453344	9.92959213	12.24295032
85	2	0.0	20.73453344	7.14906112	7.99933537
86	2	0.0	23.17389031	3.66284764	10.21383880
87	2	0.0	20.73453344	1.74310674	1.10725171
88	2	0.0	23.17389031	9.06880202	17.10592246
89	3	0.0	23.17389031	9.04115597	9.11758784
90	3	0.0	20.73453344	1.77075279	9.09558633
91	3	0.0	23.17389031	3.63520159	18.20217341
92	3	0.0	20.73453344	7.17670717	0.01100076
93	3	0.0	20.73453344	5.71614804	11.13999692
94	3	0.0	23.17389031	5.09576072	7.07317725
95	3	0.0	20.73453344	0.31019366	16.17976434
96	3	0.0	23.17389031	10.50171510	2.03340983
97	3	0.0	20.73453344	8.61952396	5.25404542
98	3	0.0	23.17389031	2.19238480	12.95912875
99	3	0.0	20.73453344	3.21356958	3.85254167
100	3	0.0	23.17389031	7.59833918	14.36063250
101	1	0.0	28.05260406	6.28827101	3.13636323
102	1	0.0	25.61324719	4.52363775	15.07681094
103	1	0.0	28.05260406	0.88231663	5.97022385
104	1	0.0	25.61324719	9.92959213	12.24295032
105	2	0.0	25.61324719	7.14906112	7.99933537
106	2	0.0	28.05260406	3.66284764	10.21383880
107	2	0.0	25.61324719	1.74310674	1.10725171
108	2	0.0	28.05260406	9.06880202	17.10592246
109	3	0.0	28.05260406	9.04115597	9.11758784
110	3	0.0	25.61324719	1.77075279	9.09558633
111	3	0.0	28.05260406	3.63520159	18.20217341
112	3	0.0	25.61324719	7.17670717	0.01100076
113	3	0.0	25.61324719	5.71614804	11.13999692
114	3	0.0	28.05260406	5.09576072	7.07317725
115	3	0.0	25.61324719	0.31019366	16.17976434
116	3	0.0	28.05260406	10.50171510	2.03340983
117	3	0.0	25.61324719	8.61952396	5.25404542
118	3	0.0	28.05260406	2.19238480	12.95912875
119	3	0.0	25.61324719	3.21356958	3.85254167
120	3	0.0	28.05260406	7.59833918	14.36063250
121	1	0.0	3.65903531	17.10017977	3.13636323
122	1	0.0	1.21967844	15.33554651	15.07681094
123	1	0.0	3.65903531	11.69422539	5.97022385
124	1	0.0	1.21967844	20.74150089	12.24295032
125	2	0.0	1.21967844	17.96096988	7.99933537
